run_id,epoch,base_harm,beta,conformal_score,conformal_method,gamma,alpha,k,nDCG @ k,"H(S,X)",|S|,random_items,Recall @ k,items_exhaustes,Method
0,100,0.3,0.0,Harm,remove,0.2538607716560364,0.0023767082590612004,20,0.3604662809460966,0.0020796197266785502,16.410378292731234,0.0,0.24033431041227543,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.28502047061920166,0.002277678748266984,20,0.34853346560782034,0.002000396118043177,15.633788869082986,0.0,0.21176901605580584,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.28502047061920166,0.002178649237472767,20,0.34853346560782034,0.002000396118043177,15.633788869082986,0.0,0.21176901605580584,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.31618016958236694,0.0020796197266785502,20,0.3364684493854286,0.0019013666072489606,14.843533372945137,0.0,0.18617283475855997,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.3473398685455322,0.001980590215884334,20,0.32391814601265834,0.0017627252921370569,14.040998217468806,0.0,0.16391254551244083,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.3473398685455322,0.0018815607050901172,20,0.32391814601265834,0.0017627252921370569,14.040998217468806,0.0,0.16391254551244083,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.37849950790405273,0.0017825311942959003,20,0.31109329674705777,0.0015943751237868886,13.258665082194494,0.0,0.14440918176983528,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.409659206867218,0.0016835016835016836,20,0.29880983422299223,0.0015646662705486236,12.469994058229352,0.0,0.12691727181735166,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.4408189058303833,0.001584472172707467,20,0.2880074565474244,0.0014755397108338285,11.678748266983561,0.0,0.11113448314078729,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.4719786047935486,0.0014854426619132504,20,0.27489775084345547,0.0014062190532778767,10.92414339473163,0.0,0.09796263823243692,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.4719786047935486,0.0013864131511190337,20,0.27489775084345547,0.0014062190532778767,10.92414339473163,0.0,0.09796263823243692,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.5031383037567139,0.0012873836403248168,20,0.26163729460882224,0.0012675777381659734,10.226975638740345,0.0,0.08600055457206,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.5342979431152344,0.0011883541295306002,20,0.24970495077440322,0.0011388393741334918,9.566052683699743,0.0,0.07628715110156274,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.5654576420783997,0.0010893246187363835,20,0.2385050613426198,0.001049712814418697,8.957615369380076,0.0,0.06734210808872008,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.5966173410415649,0.000990295107942167,20,0.22848589645878747,0.000980392156862745,8.387007328183799,0.0,0.05961011083187593,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.6277769804000854,0.0008912655971479501,20,0.21779191834026498,0.0009308774014656368,7.858981976629035,0.0,0.05294737796480777,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.7212561368942261,0.0007922360863537335,20,0.1815187807332881,0.0008021390374331551,6.426223014458309,0.0,0.03746618281023984,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.8458948135375977,0.0006932065755595169,20,0.14005303985367742,0.0006535947712418301,4.951673598732422,0.0,0.02455613568849369,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.8770545721054077,0.0005941770647653001,20,0.13157969140483422,0.0005644682115270351,4.645078233313527,0.0,0.022485417666167982,0.0,Conformal
0,100,0.3,0.0,Harm,remove,1.0016932487487793,0.0004951475539710835,20,0.09844122364525687,0.00045553574965339667,3.560308972073678,0.0,0.014760720753608108,0.0,Conformal
0,100,0.3,0.0,Harm,remove,1.1263320446014404,0.00039611804317686675,20,0.07317449271064382,0.0003763121410180234,2.6710239651416123,0.0,0.009675183204594968,0.0,Conformal
0,100,0.3,0.0,Harm,remove,1.4690885543823242,0.00029708853238265005,20,0.031781388147712905,0.00010893246187363835,1.0728857199445434,0.0,0.002832244008714597,0.0,Conformal
0,100,0.3,0.0,Harm,remove,2.684316396713257,0.00019805902158843337,20,5.980282065884551e-05,0.0,0.00019805902158843335,0.0,0.0,0.0,Conformal
0,100,0.3,0.0,Harm,remove,2.684316396713257,9.902951079421669e-05,20,5.980282065884551e-05,0.0,0.00019805902158843335,0.0,0.0,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.0,-1.0,20,0.6082542641837851,0.0023767082590612004,20.0,0.0,0.4666976236225917,0.0,Conformal
0,100,0.3,0.0,Harm,remove,2.684316396713257,0.0,20,5.980282065884551e-05,0.0,0.00019805902158843335,0.0,0.0,0.0,Conformal
1,100,0.3,0.0,Harm,remove,0.3261170983314514,0.002137509850275808,20,0.3338517278808591,0.0019700551615445235,14.488573680063041,0.0,0.1765245055022939,0.0,Conformal
1,100,0.3,0.0,Harm,remove,0.35778337717056274,0.0020484469398476496,20,0.3224877919074233,0.0018814026792750198,13.743498817966904,0.0,0.15715593316381765,0.0,Conformal
1,100,0.3,0.0,Harm,remove,0.35778337717056274,0.001959384029419491,20,0.3224877919074233,0.0018814026792750198,13.743498817966904,0.0,0.15715593316381765,0.0,Conformal
1,100,0.3,0.0,Harm,remove,0.35778337717056274,0.0018703211189913323,20,0.3224877919074233,0.0018814026792750198,13.743498817966904,0.0,0.15715593316381765,0.0,Conformal
1,100,0.3,0.0,Harm,remove,0.3894495964050293,0.0017812582085631736,20,0.31129424184211285,0.0018026004728132388,12.96375098502758,0.0,0.13896419586122633,0.0,Conformal
