run_id,epoch,base_harm,beta,conformal_score,conformal_method,gamma,alpha,k,nDCG @ k,"H(S,X)",|S|,random_items,Recall @ k,items_exhaustes,Method
0,100,0.3,0.0,Harm,remove,11.507333755493164,0.0023767082590612004,20,0.369897878309289,0.002069716775599129,12.00495147553971,0.0,0.23851811970712689,0.0,Conformal
0,100,0.3,0.0,Harm,remove,11.507333755493164,0.002277678748266984,20,0.369897878309289,0.002069716775599129,12.00495147553971,0.0,0.23851811970712689,0.0,Conformal
0,100,0.3,0.0,Harm,remove,11.707223892211914,0.002178649237472767,20,0.337661551290712,0.0017429193899782137,9.66765696177461,0.0,0.2170001130584933,0.0,Conformal
0,100,0.3,0.0,Harm,remove,11.707223892211914,0.0020796197266785502,20,0.337661551290712,0.0017429193899782137,9.66765696177461,0.0,0.2170001130584933,0.0,Conformal
0,100,0.3,0.0,Harm,remove,11.907114028930664,0.001980590215884334,20,0.306806365743139,0.00142602495543672,8.005545652604477,0.0,0.20219791312460858,0.0,Conformal
0,100,0.3,0.0,Harm,remove,12.107003211975098,0.0018815607050901172,20,0.2810338579805025,0.0012873836403248168,6.929094870271341,0.0,0.19242200320610997,0.0,Conformal
0,100,0.3,0.0,Harm,remove,12.107003211975098,0.0017825311942959003,20,0.2810338579805025,0.0012873836403248168,6.929094870271341,0.0,0.19242200320610997,0.0,Conformal
0,100,0.3,0.0,Harm,remove,12.306893348693848,0.0016835016835016836,20,0.2558462699853803,0.0011091305208952267,6.205585264408794,0.0,0.18418306476579976,0.0,Conformal
0,100,0.3,0.0,Harm,remove,12.506783485412598,0.001584472172707467,20,0.23007662410601135,0.0011190334719746486,5.668647256882551,0.0,0.17546530379848996,0.0,Conformal
0,100,0.3,0.0,Harm,remove,12.506783485412598,0.0014854426619132504,20,0.23007662410601135,0.0011190334719746486,5.668647256882551,0.0,0.17546530379848996,0.0,Conformal
0,100,0.3,0.0,Harm,remove,12.706672668457031,0.0013864131511190337,20,0.20713896755157982,0.0010398098633392751,5.256486432957021,0.0,0.16697698912353656,0.0,Conformal
0,100,0.3,0.0,Harm,remove,12.906562805175781,0.0012873836403248168,20,0.18865615620651535,0.0010299069122598533,4.930085165379283,0.0,0.15881250969710692,0.0,Conformal
0,100,0.3,0.0,Harm,remove,13.106452941894531,0.0011883541295306002,20,0.17004308604660726,0.0010001980590215885,4.624083977025154,0.0,0.14947216222599816,0.0,Conformal
0,100,0.3,0.0,Harm,remove,13.706123352050781,0.0010893246187363835,20,0.13495950829912223,0.0008516537928302634,3.799762329174094,0.0,0.11890412958361153,0.0,Conformal
0,100,0.3,0.0,Harm,remove,14.105902671813965,0.000990295107942167,20,0.11914670407570072,0.0008021390374331551,3.2451970687264806,0.0,0.09951168720826692,0.0,Conformal
0,100,0.3,0.0,Harm,remove,14.705572128295898,0.0008912655971479501,20,0.09407174114759376,0.00071301247771836,2.455931867696574,0.0,0.07208786509384459,0.0,Conformal
0,100,0.3,0.0,Harm,remove,15.505132675170898,0.0007922360863537335,20,0.0658509157451563,0.000505050505050505,1.5208952267775797,0.0,0.04308688747522542,0.0,Conformal
0,100,0.3,0.0,Harm,remove,16.304691314697266,0.0006932065755595169,20,0.043527657027676296,0.00045553574965339667,0.8772034066151713,0.0,0.024405452011921003,0.0,Conformal
0,100,0.3,0.0,Harm,remove,19.103151321411133,0.0005941770647653001,20,0.00652653993136141,0.0002574767280649634,0.08377896613190731,0.0,0.0019894682085475467,0.0,Conformal
0,100,0.3,0.0,Harm,remove,23.700618743896484,0.0004951475539710835,20,0.00034038247955861143,0.0002574767280649634,0.008516537928302634,0.0,2.7908316678370157e-05,0.0,Conformal
0,100,0.3,0.0,Harm,remove,24.100399017333984,0.00039611804317686675,20,0.00025219092280411286,0.00019805902158843335,0.006734006734006734,0.0,2.7908316678370157e-05,0.0,Conformal
0,100,0.3,0.0,Harm,remove,24.500179290771484,0.00029708853238265005,20,0.00025168292631576875,0.00011883541295306001,0.003763121410180234,0.0,0.0,0.0,Conformal
0,100,0.3,0.0,Harm,remove,26.6989688873291,0.00019805902158843337,20,7.558790529452087e-05,9.902951079421667e-06,0.00019805902158843335,0.0,0.0,0.0,Conformal
0,100,0.3,0.0,Harm,remove,26.6989688873291,9.902951079421669e-05,20,7.558790529452087e-05,9.902951079421667e-06,0.00019805902158843335,0.0,0.0,0.0,Conformal
0,100,0.3,0.0,Harm,remove,0.0,-1.0,20,0.6082542641837851,0.0023767082590612004,20.0,0.0,0.4666976236225917,0.0,Conformal
0,100,0.3,0.0,Harm,remove,26.6989688873291,0.0,20,7.558790529452087e-05,9.902951079421667e-06,0.00019805902158843335,0.0,0.0,0.0,Conformal
1,100,0.3,0.0,Harm,remove,12.111661911010742,0.002137509850275808,20,0.3223914215797236,0.0016843971631205674,8.870567375886525,0.0,0.22048016421900263,0.0,Conformal
1,100,0.3,0.0,Harm,remove,12.339380264282227,0.0020484469398476496,20,0.29083377382871567,0.0015366430260047282,7.397557131599685,0.0,0.2089459891142733,0.0,Conformal
1,100,0.3,0.0,Harm,remove,12.567098617553711,0.001959384029419491,20,0.26499360301174935,0.0014479905437352247,6.553191489361702,0.0,0.20124445633623314,0.0,Conformal
1,100,0.3,0.0,Harm,remove,12.794816970825195,0.0018703211189913323,20,0.24075200639846658,0.0013494877856579986,6.032702915681639,0.0,0.19372459164382,0.0,Conformal
1,100,0.3,0.0,Harm,remove,13.02253532409668,0.0017812582085631736,20,0.2173334221352432,0.0012017336485421592,5.671394799054373,0.0,0.1867866686263357,0.0,Conformal
